English_sentences,Balochi_sentences
Tom spoke again.,Thámá padá gapp jat
Tom spoke first.,Thámá persará gapp jat.
Tom stabbed her.,Thám á kárch jat.
Tom stabbed him.,Thám á kárch jat.
Tom stared back.,Thámá chakk jat chár et.
Tom stayed cool.,Thám sárt at.
Tom stayed here.,Thám hamedá dásht.
Tom stayed home.,Thám lógá jall et.
Tom stayed late.,Thám dérán jall et.
Tom stayed over.,Thám hamódá jall et.
Tom stood alone.,Thám éok óshtátag at.
Tom stood rigid.,Thám trond óshtátag at.
Tom stood there.,Thám hamódá óshtatag at.
Tom surrendered.,Thámá selah chagal dátant.
Tom sympathized.,Thámá hamdardi kot.
Tom talks a lot.,Thám báz gapp kant.
Tom talks funny.,Thám maskará kant.
Tom talks tough.,Thám trond gapp kant.
Tom teased Mary.,Thámá Maryam yalah kot.
Tom texted Mary.,Thámá Maryam theksth kot.
Tom told a joke.,Thámá goshkandé gosht.
Tom told us why.,Thámá márá gosht ke parchá.
Tom took a walk.,Thámá gashté kot.
Tom took my car.,Thámá mani gádhi zort.
Tom took photos.,Thámá aks kasht.
Tom trains dogs.,Thám kochekkán hélkári dant.
Tom tried again.,Thámá padá kóshest kot.
Tom trusted her.,Thámá áiay sará barósah kot.
Tom trusted him.,Thámá áiay sará barósah kot.
Tom trusted you.,Thámá tai sará barósah kot.
Tom trusts Mary.,Thám Maryamay sará barósah kant.
Tom turned away.,Thám dir but.
Tom turned back.,Thámá béraw kot.
Tom turned over.,Thámá béraw kot.
Tom understands.,Thám sarpad bit.
Tom volunteered.,Thámá awáchki kot.
Tom walked away.,Thám shot.
Tom walked fast.,Thám téziá shot.
Tom walked past.,Thám shegwast.
Tom wanted Mary.,Thámá Maryam lóthetag at.
Tom wanted more.,Thámá báz lóthetag at.
Tom wanted that.,Thámá á lóthetag at.
Tom wanted this.,Thámá é lóthetag at.
Tom wants a job.,Thámá kár lóthit.
Tom wants money.,Thámá zarr lóthit.
Tom wants to go.,Thám rawag lóthit.
Tom warned Mary.,Thámá Maryam ózzhár kot.
Tom was abusive.,Thám batamizi kanagá at.
Tom was adamant.,Thám áshá at.
Tom was adopted.,Thám ródéntag at.
Tom was alarmed.,Thám tráns at.
Tom was alerted.,Thám ózzhár at.
Tom was amazing.,Thám ajab at.
Tom was amusing.,Thám sherr at.
Tom was annoyed.,Thám zahr at.
Tom was anxious.,Thám bétáhir at.
Tom was ashamed.,Thám sharmendag at.
Tom was at home.,Thám lógá at.
Tom was awesome.,Thám dhawldár at.
Tom was baffled.,Thám ajakkah at.
Tom was blinded.,Thám kór at.
Tom was bullied.,Thám hazetag at.
Tom was careful.,Thám hayáldár at.
Tom was cheated.,Thám gón dohkah butag at.
Tom was content.,Thám rázi at.
Tom was curious.,Thám josti at.
Tom was defiant.,Thám zeddi at.
Tom was devious.,Thám Makkáré at.
Tom was devoted.,Thám sarréch at.
Tom was driving.,Thám halláénagá at.
Tom was elderly.,Thám kamásh at.
Tom was elected.,Thám gechén butag at.
Tom was enraged.,Thám hezhmig at.
Tom was evasive.,Thám áshá at.
Tom was excited.,Thám jazm at.
Tom was focused.,Thám delgósh at.
Tom was foolish.,Thám nábud at.
Tom was frantic.,Thám bétáhir at.
Tom was furious.,Thám sakk zahr at.
Tom was healthy.,Thám dreng at.
Tom was helpful.,Thám komakkár at.
Tom was hurting.,Thám dardig at.
Tom was in love.,Thám mehrig at.
Tom was in pain.,Thám dardig at.
Tom was injured.,Thám thappig at.
Tom was invited.,Thám dáwat dátagatesh.
Tom was jealous.,Thám hasadig at.
Tom was kidding.,Thám maskaráyá at.
Tom was leaving.,Thám yalah kanagá at.
Tom was lenient.,Thám narmtab at.
Tom was married.,Thámá sir kotag at.
Tom was moaning.,Thám nárénagá at.
Tom was my boss.,Thám mani thandhél at.
Tom was naughty.,Thám sharáraté at.
Tom was nervous.,Thám tráns at.
Tom was outside.,Thám dhanná at.
Tom was panting.,Thám hasagá at.
Tom was patient.,Thámá sabr kot.
Tom was perfect.,Thám sarjam at.
Tom was pleased.,Thám gal at.
Tom was popular.,Thám námdár at.
Tom was praying.,Thám dwá kanagá at.
Tom was present.,Thám sádhi at.
Tom was puzzled.,Thám hayrán at.
Tom was relaxed.,Thám éman at.
Tom was running.,Thám tachán at.
Tom was selfish.,Thám watgarzé at.
Tom was serious.,Thám sagin at.
Tom was shocked.,Thám hayrán hayrán at.
Tom was singing.,Thám sawt janagá at.
Tom was smiling.,Thám bechkandagá at.
Tom was smoking.,Thám segrét kasshagá at.
Tom was snoring.,Thám garrádhagá at.
Tom was sobbing.,Thám gréwagá at.
Tom was special.,Thám gechinié at.
Tom was spoiled.,Thám haráb butag at.
Tom was stabbed.,Thámy kárch jatag at.
Tom was stunned.,Thám ajakkah butag at.
Tom was talking.,Thám gappá at.
Tom will escape.,Thám jehit.
Turn off the TV.,ThWá band kan.
Turn the TV off.,ThWá band kan.
Wait. Come back.,Wadár kanpadá byá.
Wash your hands.,Wati dastán shód.
We are not died.,Má namortagén.
We are students.,Má maktabi én.
We are students.,Má tálebén.
We are teachers.,Má ostádén.
We have a guest.,May kerrá mehmáné hast.
We have a guest.,Márá mehmáné gwar.
We have arrived.,Má rasetagén.
We have arrived.,Má atkagén.
We have to help.,Márá komakk kanagi ent.
We have to help.,Márá madat kanagi ent.
We met a writer.,Má gón nebeshtakáréá dochár kapt.
We're Canadians.,Má Kaynadhái én.
We're listening.,Má gósh dáragá én.
What a surprise!,Chónén hayráni gappé!
What did he say?,Áiá ché gosht?
What did you do?,Taw ché kot?
What is he like?,Á chónéné?
What is his age?,Áiay omr chinchok ent?
What time is it?,Ché wahd ent?
What time is it?,Thémb chinchok ent ent?
What's going on?,Ché bayagá ent?
What's the time?,Ché wahd ent?
What's the time?,Thémb chinchok ent?
What's your age?,Tai omr chinchok ent?
What's your job?,Tai kár ché ent?
When can we eat?,Má kadi warag wárt kanén?
Where did he go?,Á kojá shot?
Where's my book?,Mani ketáb koj ent?
Where's the map?,Nakshah koj ent?
Who is that man?,Á mard kay ent?
Who's that girl?,Á jenekk kay ent?
Write that down.,Eshiá newis.
Write that down.,Eshiá nebeshtah kan.
You almost died.,Taw meragi bitay.
You betrayed me.,Taw maná dagá dát.
You decieved me.,Taw maná dagá dát.
You let me down.,Taw maná dróh et.
You look gloomy.,Taw gendagá gamig ay.
You look stupid.,Taw gendagá norré ay.
You look stupid.,Taw gendagá ahmaké ay.
You'd better go.,Gehter ent ke taw boraw.
You'd better go.,Sharter ent ke taw boraway.
You'll get lost.,Taw gár bay.
You're a coward!,Taw lagóré ay!
You're an angel.,Taw préshtagé ay.
You're forgiven.,Taw pahellay.
You're our hero.,Taw may bámard ay.
Your time is up.,Tai wahd halás ent.
Those buildings.,Á mádhián.
Tom is not died.,Thám namortag.
He axed my foot.,Áiá mani pádán tapar jat.
Release the 4th.,4miá yalah beday.
Tom was tasered.,Thám chedhetag at.
Tom was thirsty.,Thám tonnig at.
Tom was too fat.,Thám sakk zandh at.
Tom was too old.,Thám sakk pir at.
Tom was trapped.,Thám gerag butag at.
Tom was unhappy.,Thám náwassh at.
Tom was unlucky.,Thám badbaht at.
Tom was violent.,Thám janag o próshagá at.
Tom was waiting.,Thám wadárá at.
Tom was walking.,Thám gardagá at.
Tom was wealthy.,Thám hazgár at.
Tom was winning.,Thám katthagá at.
Tom was working.,Thám kárá at.
Tom was worried.,Thám paréshán at.
Tom was writing.,Thám nebisagá at.
Tom was yelling.,Thám kukárá at.
Tom wasn't bald.,Thá kutth at.
Tom wasn't busy.,Thám dazgatth at.
Tom wasn't done.,Thámá sarjam nakotag at.
Tom wasn't fair.,Thám hakkay sará nayat.
Tom wasn't good.,Thám sharr nayat.
Tom wasn't here.,Thám edá nayat.
Tom wasn't home.,Thám lógá nayat.
Tom wasn't hurt.,Thám thappig nayat.
Tom wasn't lazy.,Thám sost nayat.
Tom wasn't mean.,Thámay morád nayat.
Tom wasn't neat.,Thám palgár nayat.
Tom wasn't nice.,Thám sharr nayat.
Tom wasn't poor.,Thám garib nayat.
Tom wasn't rich.,Thám hazgár nayat.
Tom wasn't rude.,Thám batamiz nayat.
Tom wasn't safe.,Thám mahpuz nayat.
Tom wasn't sick.,Thám bimár nayat.
Tom wears a wig.,Thámá wegé sará kant.
Tom welcomed us.,Thámá márá wassh atk kot.
Tom went abroad.,Thám darmolká shot.
Tom went hiking.,Thám pádániá sapará shot.
Tom went skiing.,Thám eskingá shot.
Tom will attend.,Thám bahr zirit.
Tom will change.,Thám badal bit.
Tom will decide.,Thám pésalah kant.
Tom will follow.,Thám randgiri kant.
Tom will listen.,Thám eshkont.
Tom will manage.,Thám band o bast kant.
Tom will remain.,Thám mánit.
Tom will scream.,Thám kukár kant.
Tom will see us.,Thám márá gendit.
Tom will starve.,Thám shodig bit.
Tom will suffer.,Thám padarding bit.
Tom will try it.,Thám kóshest kant.
Tom will use it.,Thám eshiá kármard kant.
Tom winked back.,Thámá chak jat o chammok jat.
Tom won a medal.,Thámá báj bort.
Tom won the bet.,Thámá shart katthet.
Tom won't do it.,Thám nakant.
Tom won't leave.,Thám yalah nadant.
Tom wore gloves.,Thámá dastánah dastá kot.
Tom worked hard.,Thámá sakk kár kot.
Tom works alone.,"Thám éoká kár kan,"
Tom works there.,Thám ódá kár kant.
Tom would agree.,Thám tepák kant.
Tom would leave.,Thám yalah kant.
Tom writes well.,Thám sharr nebeshtah kant.
Tom'll be ready.,Thám tayár bit.
Tom'll find out.,Thámá málumdári gept.
Tom'll remember.,Thám yát kayt.
Tom's a charmer.,Thám bráhdaré.
Tom's an expert.,Thám zántkáré.
Tom's concerned.,Thám pekermand ent.
Tom's confessed.,Thámá mannetag.
Tom's conscious.,Thám hóshá ent.
Tom's convinced.,Thám rázi ent.
Tom's hilarious.,Thám maskará ent.
Tom's impressed.,Thám asarmand ent.
Tom's in charge.,Thám enchárj ent.
Tom's listening.,Thám góshdáragá ent.
Tom's my cousin.,Thám mani nákuzatk ent.
Tom's my cousin.,Thám mani trizatk ent.
Tom's my friend.,Thám mani sangat ent.
Tom's my nephew.,Thám mani brazatk ent.
Tom's repulsive.,Thám dirdár ent.
Tom's screaming.,Thám kukárá ent.
Tom's suffering.,Thám dardig ent.
Tom's thirtyish.,Thámá si sál ent.
Tom's turn came.,Thámay bárig atk.
Tom's very neat.,Thám báz palgár ent.
Tom's very nice.,Thám báz sharr ent.
Tom's very weak.,Thám báz nezór ent.
"Tom, I'm hungry.","Thám, man shodig án."
"Tom, be careful!","Thám, ózzhár bebay."
Trust is earned.,Barósah kamáénag bit.
Try not to yawn.,Kóshest kan magayás.
Turn on the gas.,Gaysá chálu kan.
Wait in the car.,Gádhiá wadár kan.
Wait one minute.,Damáné wadár kan.
Wait one second.,Adároké wadár kan.
Wait over there.,Ódá wadár kan.
Walking is nice.,Gardag sharr ent.
Was Tom rescued?,Thámesh rakkéntag at?
"Was it you, Tom?","É taw atay, Thám?"
Was that a joke?,É mazáké at?
Watch your toes.,Wati páday lankokán bechár.
We all know Tom.,Má drost Thámá zánén.
We all like him.,Á márá drostán dóst bit.
We all love Tom.,Má drost Thámá dóstdárén.
We all love you.,Má drost tará dóstdárén.
We already know.,Má péshá zánén.
We are a family.,Má yakk kándáné én.
We are brothers.,Má brátén.
We are his sons.,Má áiay chokén.
We are with you.,Má tai hamráh én.
We aren't alone.,Má éok naén.
We aren't going.,Má rawagá naén.
We ate together.,Má hórá warag wárt.
We believed you.,Márá tai sará barósah én.
We both saw you.,Má doénán tará dist.
We call him Tom.,Má eshiá Thám goshén.
We came to play.,Má laybá atkagatén.
We can help Tom.,Má Thámá madat kot kanén.
We can pay cash.,Má nagd dát kanén.
We can try that.,Má eshiay sará kóshest kanén.
We can't escape.,Má jest nakanén.
We can't see it.,Má eshiá cháret nakanén.
We closed early.,Má jaldi band kanén.
We count on you.,Má tai sará barósah kanén.
We declared war.,Má jangay jár jat.
We didn't smile.,Má nabechkand et.
We didn't worry.,Má paréshán nayatén.
We eat raw fish.,Má hámagén máhig warén.
We followed Tom.,Má Thámay randá butén.
We had no money.,Márá zarr gón nést at.
We have bananas.,Márá móz gónén.
We have no time.,May kerrá wahd nést.
We have nothing.,May kerrá hecch nésh.
We have to stop.,Mará jallag lóthit.
We have to talk.,Márá gapp janagién.
We have to wait.,Márá wadár kangién.
We lack nothing.,Márá hecch kammi nést.
We left at 2:30.,Má 2:30á rawánag butén.
We love it here.,Má eshiá edá dóstdárén.
We love picnics.,Márá peknek dóst bit.
We love you all.,Márá shomá drost dóst bay.
We made him cry.,Má á gréwáént.
We made waffles.,Mará tráns dátesh.
We must act now.,Márá ni gággéj ziragién.
We need a break.,Márá mahtalié lóthit.
We need experts.,Márá zánkár pakár ant.
We need to know.,Márá zánag lóthit.
We never forget.,Má beh nashamoshen.
We respect them.,Má áyáni ezzat kanén.
We sang for her.,Má pa áiá sawt jat.
We should study.,Márá wánag lóthit.
We speak French.,Má Paránsi zobáná gapp kanén.
We study French.,Má Paránsi zobáná wánén.
We took showers.,Má ján shosht.
We try our best.,Má purá kóshest kanén.
We walked a lot.,Má pyániá báz shotén.
We want justice.,Márá ensáp lóthit.
We want to help.,Má madat kanag lóthén.
We want to know.,Má zánag lóthén.
We want to talk.,Má gapp kanag lóthén.
We went dancing.,Má náchá shotén.
We went on foot.,Má pádániá shotén.
We were friends.,Má sagat butagén.
We were in love.,Má mehrá butagén.
We were invited.,Márá dáwat dátagesh.
We were shocked.,Má ajakkah butagén.
We were worried.,Má paréshán butagén.
We will succeed.,Má sóbmand bayén.
We will survive.,Má mánén.
We won't forget.,Má nashamoshén.
We'll bring Tom.,Má Thámá kárén.
We'll catch Tom.,Má Thámá gerén.
We'll catch you.,Má tará gerén.
We'll chance it.,Má eshiá moh dayén.
We'll find them.,Má eshiá dar géjén.
We'll get there.,Má ódá rasén.
We'll know soon.,Má zitt málumdár bayén.
We'll see to it.,Má eshiá chárén.
We'll stay here.,Má hamedá jallén.
We'll wait here.,Má hamedá wadár kanén.
We'll watch Tom.,Má Thámá chárén.
We're all alone.,Má drost eókén.
We're all sorry.,Má drost paheli lóthén.
We're available.,Má dastyábén.
We're back home.,Má padá lógá atkagén.
We're both fine.,Má doén wassh én.
"We're busy, Tom.","Má dazgatth én, Thám."
We're coming in.,Má tahá pédákén.
We're confident.,Má deljamén.
We're desperate.,Má bétáhirén.
We're done here.,Má edá kotag.
We're exhausted.,Má dam bortag.
We're fine here.,Má wassh én.
We're fishermen.,Má máhigirén.
We're gardeners.,Má bágbánén.
We're giving up.,má babáénagá én.
We're going now.,Ni má rawagá én.
We're going out.,Má dhanná rawagá én.
"We're here, too.",Má ón hamedá én.
We're impatient.,Má eshtápkárén.
We're impressed.,Má asarmand én.
We're in Boston.,Má Bósthoná én.
We're in danger.,Márá hatarén.
We're intrigued.,Má delchespén.
We're neighbors.,Má hamsáheg én.
We're newlyweds.,Má nóksirén.
We're not alone.,Má eók naén.
We're not crazy.,Má ganók naén.
We're not going.,Má rawagá naén.
We're now alone.,Ni má eókén.
We're objective.,Má kárzadién.
We're optimists.,Má deljamén.
We're plastered.,Má dóntagén.
We're prisoners.,Má bandig én.
We're relatives.,Má syádén.
We're safe here.,Má edá raketagén.
We're separated.,Má jetá butagén.
We're soulmates.,Má arwáhay sangatén.
We're surprised.,Má hayrán én.
We're too drunk.,Má sakk neshah én.
We're uninsured.,Má bébimah én.
We're very busy.,Má sakk dazgatth én.
We're very fast.,Má sakk tézén.
We're very poor.,Má sakk garibén.
We've come home.,Má lógá atkagén.
We've found Tom.,Má Thám dar gétkag.
We've got to go.,Márá rawagién.
We've hired Tom.,Má Thám nól kotag.
We've lost them.,Má á gár kotagant.
We've seen them.,Má á distagant.
We've upset Tom.,Má Thám paréshán kotag.
Were they lying?,Á dróg bandag atant?
What a huge dog!,Chinchó mazanén kochakké!
What a nice tie!,Chónén dhawldárén tháié!
What a rude man!,Chónén batamizén mardé!
What am I doing?,Man ché kanagá án?
What am I to do?,Man ché bekanán?
What did I miss?,Man ché gár kot?
What did Tom do?,Thámá ché kot?
What do we have?,May gwará ché hast?
What do you see?,Taw ché genday?
What drives you?,Taw ché halláénay?
What is it like?,É chetawr ent?
"What is it, Tom?","É chié, Thám?"
What is missing?,Ché gár ent?
What was inside?,Tahá chi at?
What was stolen?,Ché dozi butag at?
What went wrong?,Ché rad but?
What'll Tom say?,Thám ché goshitén?
What'll Tom win?,Thám ché kathitén?
What'll you eat?,Taw ché waray?
What's Tom like?,Thám chón ent?
What's Tom mean?,Thámay morád chi ent?
What's Tom want?,Thám ché lóthit?
What's all that?,É drost ché ant?
What's his name?,Áiay nám kay ent?
What's in there?,Ódá chié?
What's it about?,Eshiay dargatá ché hast?
What's my prize?,Mani dád ché ent?
What's so funny?,Chinchó maskaráé?
What's that for?,É pa chiá ent?
What's up there?,Ódá ché bayagá ent?
"What's up, dude?",Ché hál yár?
What's with you?,Gón taw ché hast?
What've you got?,Tai kerá ché hast?
When did you go?,Taw kadi shotagay?
When do you run?,Taw kadi tachay?
Where is Boston?,Bósthon kojá ent?
Where is an ATM?,ÉThM kojá ent?
Where is it now?,Ni kojá ent?
Where is my car?,Mani gádhi kojá ent?
Where is my dad?,Mani pet kojá ent?
Where is my dog?,Mani kochakk kojá ent?
Where were they?,Á kojá atant?
Where's my beer?,Mani biar koj ent?
Where's my bike?,Mani parpath koj ent?
Where's my coat?,Mani Kóth koj ent?
Where's my comb?,Mani sarand koj ent?
Where's my desk?,Mani dhesk koj ent?
Where's my food?,Mani warag kojá ent?
Where's my mama?,Mani Mát kojá ent?
Where's my ring?,Mani mondrik koj ent?
Where's my room?,Mani bán kojá ent?
Where's my wife?,Mani zál kojá ent?
Where's our car?,May gádhi koj ent?
Where's the car?,Gádhi koj ent?
Where's the cat?,pesshi koj ent?
Where's the dog?,Kochakk koj ent?
Where's the ice?,Barp koj ent?
Where's the oar?,Hólig koj ent?
Where's the pen?,Kalam koj ent?
Where's the zoo?,Bágichah kojá ent?
Which are Tom's?,Kojám Thám ent?
Which is better?,Kojám gehter ent?
Which key is it?,É kojám kelit ent?
Who are you all?,Shomá drost kay et?
Who bought this?,É kayá bahá zort?
Who brought Tom?,Thám kayá áort?
Who can that be?,Á kay bit kant?
Who did you see?,Taw kay dist?
Who is confused?,Kay gadhomanj ent?
Who is that boy?,Á bachakk kay ent?
Who is that guy?,Á mard kay ent?
Who is this boy?,É bachakk kay ent?
Who is this guy?,É mard kay ent?
Who is your dad?,Tai pet kay ent?
Who likes beans?,Lóbiá kayá dóst bit?
Who scolded Tom?,Thám kayá hakkal dát?
Who's in charge?,Enchárj kay ent?
Who's listening?,Kay góshdáragá ent?
Who's screaming?,Kay kukárá ent?
Who's your aunt?,Tai tri kay ent?
Whose are these?,É kaig ant?
Why are we here?,Má parchá edáen?
Why are you mad?,Taw parchá ganók ay?
Why did Tom lie?,Thámá parchá dróg bast?
Why did Tom win?,Thámá parchá kath et?
Why did you cry?,Taw parchá grét?
Why did you lie?,Taw parchá dróg bast?
Why do we dream?,Má parchá wáb gendén?
Why is Tom back?,Thám parchá wátar butag?
Why is Tom here?,Thám parchá edá ent?
Why is Tom home?,Thám parchá lógá ent?
Why is she here?,Á parchá edá ent?
Why not ask Tom?,Parchá Thámá jost nakanay?
Will he recover?,Á sharr bitén?
Wolves scare me.,Gork maná trosénant.
Women love that.,Janénán é dóst bit.
You are my hero.,Taw Mani bámard ay.
You are naughty.,Taw shétáné ay.
You are so kind.,Taw báz mehrwáné ay.
You aren't here.,Taw edá nayay.
You aren't late.,Taw dér nakot.
You aren't rich.,Taw hazgár nayay.
You better hide.,Gehter ent taw chér bay.
You can keep it.,Taw eshiá zort kanay.
You can make it.,Taw eshiá addh kot kany.
You cannot lose.,Taw babá naday.
You fell asleep.,Taw wábay.
You got cheated.,Tará répéntagesh.
You know people.,Taw mardomán zánay.
You lied to Tom.,Taw gón Thám dróg bast.
You look better.,Taw gendagá gehter ay.
You may go home.,Taw lógá shot kanay.
You must be Tom.,Tará Thám bayag lóthit.
You must go now.,Tará ni rawag lóthist.
You need a plan.,Tará shawrbandé lóthit.
You promised me.,Taw gón man zobán kot.
You should stop.,Tará jallag lóthit.
You sound tired.,Taw gendagá dam bortagay.
You startled me.,Taw maná godhént.
You startled us.,Taw márá godhént.
You will listen.,Taw eshkonay.
You work for me.,Taw pa man kár bekan.
You'll be great.,Taw báz sharr bay.
You'll be happy.,Taw báz wassh bay.
You'll be sorry!,Tará apsóz bit!
You'll be sorry.,Tará apsóz bit.
You'll be tired.,Taw dam bortag bay.
You'll do great.,Taw báz sharr kanay.
You'll like Tom.,Tará Thám dóst bit.
You'll love Tom.,Taw Thám dóst dáray.
You'll meet Tom.,Taw Thámá gón dochár kapay.
You'll miss Tom.,Taw Thámá yát kanay.
You'll thank me.,Taw mani mennatwár bay.
You're a nobody.,Taw kass nayay.
You're a racist.,Taw nasal parastéay
You're a sexist.,Taw jens parasté ay.
You're after me.,Taw maná che randay.
You're an idiot.,Taw nábudé ay.
You're bluffing.,Taw norondhagá ay.
You're blushing.,Taw lajjá ay.
You're charming.,Taw delkasshay.
You're dreaming.,Taw wáb gendagá ay.
You're fearless.,Taw natrosé ay.
You're free now.,Taw ni ázátay.
You're generous.,Taw nangaray.
You're gullible.,Taw rad ay.
You're like Tom.,Taw chó Thámá ay.
You're mine now.,Taw ni manig ay.
You're my child.,Taw mani chokkay.
You're new here.,Taw edá nókay.
You're not here.,Taw edá nayay.
You're not poor.,Taw nézgár nayay.
You're not rich.,Taw hazgár nayay.
You're pathetic.,Taw rahm delé ay.
You're prepared.,Taw tyáray.
You're reliable.,Taw barósahay láekay.
You're so dirty.,Taw báz sellay.
You're so right.,Taw rást goshagá ay.
You're the cook.,Taw kanwariay.
You're to blame.,Taw malám atay.
You're up early.,Taw zit pád atkagay.
You've been had.,Taw butagay.
Your bag's open.,Tai bayg pach ent.
Your car's here.,Tai gádhi edá ent.
Yours is better.,Tai gehter ent.
3 times 5 is 15.,"3 zarabe 5, 15 ent."
Are you unhappy?,Taw nawassh ay?
Aren't you rich?,Taw sér nayay?
Come and get it.,Byá et bewar et.
Go back outside.,Padá dhanná boraw.
He felt at home.,Á gég gég at.
He may be there.,Á balkén hamódá bit.
He's her friend.,Á áiay sangat ent.
Hey. I know you.,Adhay. Man tará zánán.
How rich is Tom?,Thám chinchok sér ent?
I am in a hurry.,Man eshtápig án.
I bought a book.,Man ketábé gept.
I enjoy reading.,Maná wánag wassh bit.
I felt betrayed.,Maná anchó samá but ke dagá dayag bitagán.
I felt isolated.,Maná anchó samá but ke yakkerr kanag bitagán.
I felt left out.,Man anchó máret ke darsham kanag bitagán.
I just told Tom.,Man anni Thám gosht gón.
I live here now.,Ni man edá neshtagán.
I live with Tom.,Man Thámay kerrá neshtagán.
I may need help.,Man balkén madat lóthán.
I need a bucket.,Maná báldié pakár ent.
I need a tissue.,Maná thisshué pakár ent.
I need this job.,Maná é nawkari pakár ent.
I need to focus.,Maná delgósh yajjáh kanag pakár ent.
I need to relax.,Maná árám kanag pakár ent.
I need to shave.,Maná risshay sáyag pakár ent.
I only need Tom.,Maná bass Thám pakár ent.
I was born here.,Man hamedá pédá bitagán.
I'll enjoy this.,Man chareshiá washnód bán.
I'm a housewife.,Man gesi janéné án.
I'm enjoying it.,Maná é wassh bayagá ent.
I live in Japan.,Man Jápáná neshtagán.
I need the keys.,Maná kelit pakár ent.
I need to study.,Maná wánag pakár ent.
Never say never.,Beh magosh hejbar.
That's an order.,É hogmé.
Wait. Come back.,Wadár kan. Padá byá.
What is he like?,Á chéay wadhá ent?
What time is it?,Thémb chinchok ent?
You look gloomy.,Taw gendagá moluray.
You deceived me.,Taw maná répént.
Are we prepared?,Má tayár én?
Are we safe now?,Ni má mahpuz én?
Boston is great.,Bóston sakk sharr ent.
"Come on, get up.","Hay kan, pádá."
Did you love me?,Man tará dóst atán?
Do you watch TV?,Taw Thi Wi cháray?
Don't be scared.,Mators.
He's not a liar.,Á drógbandé naent.
"Hurry up, girls.","Goshád kan et, jenekkán."
I saw Tom on TV.,Man Thám Thi Wiá dist.
I was entranced.,Man béwat atán.
I was impressed.,Man asarmand bitán.
I was mortified.,Man shohrat atán.
I was too drunk.,Man nóshetagat o sakk neshah atán.
I was too small.,Man sakk kasán atán.
I was very poor.,Man sakk wár atán.
I'm a TV addict.,Man Thi Wi cháragá héldár án.
I'm coming back.,Man padá pédágán.
I'm coming home.,Man lógá pédágán.
"I'm coming, too.",Man ham pédágán.
I'm from Boston.,Man Bóstonayg án.
Turn off the TV.,Thi Wiá band kan.
Turn the TV off.,Thi Wiá band kan.
These were dogs.,É kochakk atant.
These were cats.,É pesshi atant.
All are present.,Drost sádhi ant.
Am I alone here?,Man edá éok án?
Are drinks free?,Nósh mopt ant?
Are my ears red?,Mani gósh sohr ant?
Are you certain?,Taw saddak ay?
Are you content?,Taw deljam ay?
Are you correct?,Taw rást ay?
Are you curious?,Taw pa zánagá hodónák ay?
Are you envious?,Taw ábrogi ay?
Are you excited?,Taw gal ay?
Are you in pain?,Taw taklip ay?
Are you over 18?,Taw 18á borz ay?
Are you serious?,Taw del ay?
Are you with me?,Taw maná gón ay?
Are you with us?,Taw márá gón ay?
Do I look tired?,Man gendagá zhand án?
Here's the milk.,Shir esh ant.
How big you are!,Taw chón mazan ay!
I ache all over.,Man har jágah dard o dór án.
I am dead tired.,Man zhand o zhull án.
I am dozing off.,Man obénag án.
I am from Tokyo.,Man Tókyóayg án.
I feel helpless.,Man béwas án.
I feel horrible.,Man sakk nagég án.
I feel relieved.,Man ráhat án.
I feel very ill.,Man goshay sakk nádráh án.
I feel very old.,Man goshay sakk pir án.
I have the keys.,Maná kelit gón ant.
I must be blind.,Man pakkáyá kór án.
I remember them.,Maná á yát ant.
I'm Tom Jackson.,Man Thám Jayksan án.
I'm Tom's guest.,Man Thámay mehmán án.
I'm Tom's niece.,Man Thámay brázatk án.
I'm Tom's rival.,Man Thámay rakib án.
I'm Tom's uncle.,Man Thámay náku án.
I'm a bit crazy.,Man toshokké ganók án.
I'm a bit drunk.,Man nóshetag o toshokké neshah án.
I'm a bit tipsy.,Man toshokké malár án.
I'm a therapist.,Man elájkár án.
I'm almost sure.,Man kamm o gésh jazm án.
I'm color-blind.,Man rangkór án.
I'm coming back.,Man padá pédág án.
I'm coming home.,Man lógá pédág án.
"I'm coming, too.",Man ham pédág án.
I'm constipated.,Man kabz án.
I'm embarrassed.,Man hajálat án.
I'm fairly busy.,Man sakk gasi án.
I'm getting hot.,Man garm gerán án.
I'm my own boss.,Man wati thandhél wat án.
I'm new at this.,Man eshiá nók án.
I'm new in town.,Man shahrá nók án.
Are you healthy?,Taw dreng ay?
Hi! How are you?,Drót o drahbát! Chetawr ay taw?
How is everyone?,Drost chetawr ant?
I keep sneezing.,Man cheshán án.
I'm a night owl.,Man shapán ágah án.
I'm about ready.,Man kamm o gésh jádhi án.
I'm going to go.,Man rawagi án.
I'm on the list.,Man ladhá mán án.
I'm your father.,Man tai pet án.
I'm your friend.,Man tai sangat án.
It's all I have.,Mani kerrá bass hamésh ant.
Lemons are sour.,Limbu tropsh ant.
Tom felt strong.,Thámá máret ke zreng án.
We are students.,Má táleb én.
We are teachers.,Má ostád én.
You look gloomy.,Taw gendagá molur ay.
You're forgiven.,Taw pahell ay.
Behave yourself.,Watá sambál.
Bravo! Go ahead.,Shábásh démá boraw.
Its clear today.,Marchi padar ent.
Suicide bombing.,Watkosh bamb trák.
Lower your gaze.,Wati chammán jahl kan.
He is a moocher.,Á mopt wáré.
He is a moocher.,Á mozhdah wáré.
"Are you OK, Tom?","Taw barábar ay, Thám?"
Come and get it.,Byáet bwaret.
